TStamp Europe/Copenhagen	SensorStamp	packageIndex	aX [m/s2]	aY [m/s2]	aZ [m/s2]	gX [m/s2]	gY [m/s2]	gZ [m/s2]	mX [m/s2]	mY [m/s2]	mZ [m/s2]
1576577764083	35713	0	-9,710421	2,120116	-0,665228	0,560000	0,350000	-0,560000	-104,130745	505,374481	170,750137
1576577764083	35713	1	-9,657777	2,100973	-0,679586	0,630000	0,770000	-0,630000	-98,785820	505,850250	175,705185
1576577764083	35713	2	-9,700850	2,158403	-0,708301	0,210000	0,630000	-0,700000	-102,379776	506,153198	172,138123
1576577764083	35713	3	-9,700850	2,124902	-0,693943	-0,840000	0,490000	-0,630000	-100,665298	503,243591	174,694946
1576577764083	35713	4	-9,624276	2,048329	-0,741802	-1,680000	0,840000	-0,630000	-101,559357	505,250214	174,636093
1576577764083	35713	5	-9,715207	2,096188	-0,655657	-1,680000	0,910000	-0,630000	-102,461510	508,575226	173,969879
1576577764083	35713	6	-9,681706	2,067473	-0,641299	-1,260000	0,840000	-0,560000	-104,327293	505,691650	172,209549
1576577764083	35713	7	-9,662563	2,048329	-0,603013	-0,770000	1,050000	-0,490000	-100,990654	506,453705	172,742828
1576577764191	35790	0	-9,724778	2,072258	-0,693943	-0,350000	0,980000	-0,420000	-100,382195	505,025299	172,765930
1576577764191	35790	1	-9,700850	2,077044	-0,689158	-0,210000	0,420000	-0,350000	-100,619385	506,933868	173,806763
1576577764191	35790	2	-9,629062	2,100973	-0,708301	-0,630000	0,140000	-0,420000	-101,463814	507,071228	173,276031
1576577764191	35790	3	-9,696064	2,033972	-0,674800	-1,050000	0,350000	-0,420000	-100,882759	506,196655	174,799332
1576577764191	35790	4	-9,715207	2,057901	-0,646085	-1,330000	0,700000	-0,560000	-104,341751	509,928802	171,839264
1576577764191	35790	5	-9,672134	2,053115	-0,665228	-1,330000	0,770000	-0,630000	-102,941132	507,591492	173,518326
1576577764191	35790	6	-9,643419	2,010043	-0,660443	-0,980000	0,630000	-0,770000	-101,316139	504,663055	173,408890
1576577764191	35790	7	-9,681706	2,105759	-0,646085	-0,350000	0,280000	-0,700000	-103,087166	507,079956	173,008072
1576577764248	35867	0	-9,662563	2,158403	-0,650871	-0,140000	0,140000	-0,700000	-101,980682	506,359406	172,872940
1576577764248	35867	1	-9,652991	2,163189	-0,732230	-0,210000	0,280000	-0,770000	-102,378914	506,712952	174,480301
1576577764248	35867	2	-9,686492	2,110545	-0,708301	-0,560000	0,420000	-0,630000	-102,685539	505,407013	171,867722
1576577764248	35867	3	-9,686492	2,215833	-0,646085	-1,050000	0,350000	-0,560000	-104,223656	506,194275	171,456833
1576577764248	35867	4	-9,676920	2,134474	-0,708301	-1,400000	0,420000	-0,560000	-102,163528	506,399689	173,582230
1576577764248	35867	5	-9,667349	2,115331	-0,660443	-1,120000	0,490000	-0,490000	-100,684883	507,199860	173,013229
1576577764248	35867	6	-9,638634	2,057901	-0,636514	-0,630000	0,490000	-0,420000	-102,797287	506,222839	172,013077
1576577764248	35867	7	-9,686492	2,148831	-0,698729	-0,560000	0,350000	-0,350000	-104,609039	505,711121	169,971909
1576577764322	35943	0	-9,662563	2,211047	-0,698729	-1,120000	0,350000	-0,350000	-100,788536	506,697266	173,765961
1576577764322	35943	1	-9,619491	2,100973	-0,693943	-1,400000	0,350000	-0,350000	-100,872124	502,999023	173,531509
